campaign_id,product_type,audience_age,audience_gender,location,channel,duration_days,budget_usd,click_through_rate
1,Furniture,25-34,Female,Florida,Google Ads,45,6835.36,0.0752
2,Books,45-54,Male,New York,Instagram,14,8014.87,0.0619
3,Laptops,55+,Male,Texas,LinkedIn,7,4725.28,0.0454
4,Books,45-54,Male,Florida,LinkedIn,7,2435.42,0.0567
5,Books,45-54,Other,Illinois,YouTube,7,9284.93,0.0787
6,Smartphones,55+,Male,California,YouTube,7,689.7,0.0267
7,Laptops,45-54,Male,New York,YouTube,45,5773.18,0.0455
8,Laptops,55+,Male,New York,Google Ads,45,4042.07,0.0677
9,Laptops,55+,Other,California,YouTube,14,4880.04,0.0568
10,Books,55+,Female,Illinois,Google Ads,60,5597.37,0.0769
11,Furniture,25-34,Female,Texas,Facebook,30,5580.11,0.055
12,Laptops,35-44,Male,California,Instagram,14,2434.42,0.0585
13,Books,25-34,Male,Texas,LinkedIn,7,6957.17,0.0554
14,Smartphones,55+,Female,Illinois,Google Ads,30,681.91,0.0306
15,Furniture,35-44,Female,Florida,Instagram,14,701.25,0.0496
16,Smartphones,35-44,Female,Florida,YouTube,7,5045.63,0.0591
17,Furniture,55+,Female,Illinois,LinkedIn,14,5648.08,0.0517
18,Books,35-44,Male,Texas,Google Ads,7,3111.45,0.0872
19,Shoes,35-44,Male,California,YouTube,7,5740.92,0.049
20,Furniture,25-34,Male,Illinois,Instagram,45,5403.04,0.0414
21,Smartphones,35-44,Female,Illinois,Facebook,7,3817.6,0.0605
22,Books,55+,Other,Florida,Instagram,14,6691.86,0.0641
23,Furniture,18-24,Female,California,Google Ads,30,9600.4,0.0661
24,Shoes,18-24,Female,Florida,Facebook,45,5162.63,0.0678
25,Shoes,18-24,Other,Texas,Facebook,30,7967.48,0.0796
26,Laptops,55+,Other,Texas,YouTube,60,2852.17,0.0351
27,Laptops,18-24,Female,New York,Instagram,30,7738.53,0.0386
28,Smartphones,25-34,Other,Illinois,Google Ads,60,6664.61,0.081
29,Furniture,55+,Other,California,Facebook,60,6577.13,0.038
30,Furniture,55+,Other,California,YouTube,45,8983.84,0.0666
